parcelle,id,disposition,date,nature,codecommune,departement,type,surface,piece,prix,latitude,longitude,surface_calc
350930000H0274,2024-196627,1,2024-03-20,Vente,35093,35,Appartement,72,3,648000,48.6357500,-2.0562520,72
35064000YI0117,2024-196628,1,2024-03-25,Vente,35064,35,Maison,40,1,47250,47.6846830,-1.9456430,40
35207000AC0655,2024-196631,1,2024-03-28,Vente,35207,35,Appartement,41,2,145000,48.1132820,-1.5231450,41
35238000HX0361,2024-196632,1,2024-03-18,Vente,35238,35,Maison,108,7,5e+05,48.1322410,-1.6708480,108
352880000A0431,2024-196634,1,2024-03-21,Vente,35288,35,Appartement,44,2,410000,48.6592790,-1.9965920,44
350930000H0218,2024-196636,1,2024-03-29,Vente,35093,35,Appartement,90,5,870000,48.6346220,-2.0537000,90
351730000C0148,2024-196637,1,2024-03-15,Vente,35173,35,Maison,83,3,260000,48.2253200,-1.6659460,83
350930000D0137,2024-196638,1,2024-03-28,Vente,35093,35,Appartement,65,3,480000,48.6351010,-2.0681880,65
35051000AS0193,2024-196640,1,2024-03-21,Vente,35051,35,Maison,144,5,480000,48.1156010,-1.6121820,144
35236000AH0383,2024-196641,1,2024-03-22,Vente,35236,35,Maison,128,6,220000,47.6561980,-2.0806490,128
352070000A2666,2024-196643,1,2024-03-27,Vente,35207,35,Appartement,58,3,170000,48.1174140,-1.5363320,58
35238000AP0357,2024-196644,1,2024-03-29,Vente,35238,35,Maison,154,6,650000,48.1242930,-1.6828120,154
35241000AC0251,2024-196645,1,2024-04-02,Vente,35241,35,Appartement,23,1,92260,48.6143050,-2.0353030,23
351930000A0852,2024-196647,1,2024-03-18,Vente,35193,35,Maison,134,6,230150,48.2478630,-1.7213920,134
35059000AE0008,2024-196648,1,2024-03-15,Vente,35059,35,Maison,90,5,250000,48.1803160,-1.7313590,90
351913230A0807,2024-196649,1,2024-04-03,Vente,35191,35,Maison,63,3,169900,48.4369710,-1.3434190,63
351980000A0109,2024-196650,1,2024-03-20,Vente,35198,35,Maison,117,5,275000,48.0219800,-1.3871110,117
35238000IM0193,2024-196651,1,2024-03-14,Vente,35238,35,Appartement,70,4,205000,48.1326520,-1.6538760,70
35160000AB0029,2024-196652,1,2024-03-14,Vente,35160,35,Maison,160,5,190000,47.9373980,-2.0817370,160
35023000AB0492,2024-196653,1,2024-03-11,Vente,35023,35,Appartement,57,3,159000,48.1810510,-1.9466810,57
35115000AT0256,2024-196654,1,2024-03-28,Vente,35115,35,Appartement,48,2,55000,48.3531750,-1.2038580,48
35115000AN0023,2024-196659,1,2024-03-19,Vente,35115,35,Maison,68,3,70000,48.3466310,-1.1956410,68
350580000B0863,2024-196660,1,2024-03-22,Vente,35058,35,Maison,64,3,135000,48.2717200,-1.8569610,64
352330000C0382,2024-196661,1,2024-03-18,Vente,35233,35,Maison,53,3,142500,48.3567040,-1.8071750,53
35233000AH0405,2024-196662,1,2024-03-21,Vente,35233,35,Maison,60,2,105000,48.3450030,-1.8270220,60
35115000AB0455,2024-196663,1,2024-03-23,Vente,35115,35,Maison,100,5,180000,48.3621190,-1.2032700,100
35287000AV0483,2024-196664,1,2024-03-14,Vente,35287,35,Appartement,52,2,127413,48.6278780,-2.1113450,52
350960000C0559,2024-196665,1,2024-04-04,Vente,35096,35,Maison,187,6,251000,48.0704600,-1.3922840,187
352160000A1720,2024-196667,1,2024-03-28,Vente,35216,35,Maison,113,5,290000,48.1931130,-1.8292800,113
35069000ZA0486,2024-196668,1,2024-04-02,Vente,35069,35,Maison,116,5,350000,48.0406910,-1.5074860,116
35047000CH0094,2024-196670,2,2024-03-12,Vente,35047,35,Appartement,45,2,132000,48.0285070,-1.7545340,45
35238000HN0120,2024-196671,1,2024-03-29,Vente,35238,35,Appartement,44,2,150000,48.1325430,-1.6988940,44
35288000DI0123,2024-196673,1,2024-03-18,Vente,35288,35,Maison,150,5,869541,48.6297410,-1.9970090,150
35288000DI0124,2024-196673,1,2024-03-18,Vente,35288,35,Maison,74,2,869541,48.6299870,-1.9970750,74
35238000AE0474,2024-196676,1,2024-04-05,Vente,35238,35,Appartement,46,2,191000,48.1081110,-1.6942700,46
351610000B0793,2024-196677,1,2024-03-20,Vente,35161,35,Maison,65,4,117500,48.0511030,-1.3261430,65
350330000A1609,2024-196678,1,2024-03-29,Vente,35033,35,Maison,126,6,339850,47.9297330,-1.7468820,126
352710000B0190,2024-196681,1,2024-03-28,Vente,35271,35,Maison,218,6,160000,48.5320970,-1.2058360,218
35288000AO0504,2024-196683,1,2024-04-03,Vente,35288,35,Maison,33,2,480000,48.6465530,-1.9952090,33
